Site,Location,Date,Date_n,C_species,C_species_n,Pool_type,F14C,yBSD,d13C,Depth,Area,Perimeter,r_time,d_area,DOC_conc,POC_conc,CO2_conc,CH4_conc,pH,EC,DO,Temp,WTD
P01,Cross Lochs,20/05/2014,May-14,DOC,a,Natural,1.003366,219.865,-27.163,50,868,246,192,427,6.2667,3.4721,0.3503,1.3,4.45,77,9.11,15.1,0.2
P04,Cross Lochs,20/05/2014,May-14,DOC,a,Natural,0.986866,300.305,-27.257,43,115,58,89,177,9.0167,1.736,0.5308,5.7,4.49,74,7.72,16.5,3.7
P06,Cross Lochs,20/05/2014,May-14,DOC,a,Natural,1.072799,48.59,-27.492,30,24,19,32,89,10.8767,4.0389,0.2349,7.32,4.33,76,6.13,18.1,
P07,Cross Lochs,20/05/2014,May-14,DOC,a,Restoration,1.063382,55.7,-28.808,34,6,12,19,45,24.4167,1.559,4.8755,4.07,4.16,82,4.36,15.4,2.5
P09,Cross Lochs,20/05/2014,May-14,DOC,a,Restoration,1.051932,63.005,-28.603,38,6,13,16,67,31.9167,1.9845,2.2239,19.16,4.29,85,4.95,15,1.4
P10,Cross Lochs,20/05/2014,May-14,DOC,a,Restoration,1.08923,40.2,-28.736,39,4,8,0.5,1264,21.6967,0.9796,2.9754,1.33,4.18,85,4.67,11.7,1.8
P01,Cross Lochs,05/11/2014,Nov-14,DOC,a,Natural,0.999308,244.33,-27.024,50,868,246,192,427,7.6433,1.1615,0.4008,0.83,4.75,70,9.29,5.4,-3.4
P04,Cross Lochs,05/11/2014,Nov-14,DOC,a,Natural,1.039729,74.45,-26.507,43,115,58,89,177,10.1033,0.8423,0.4017,1.64,4.71,58,9.72,5.3,3.5
P06,Cross Lochs,05/11/2014,Nov-14,DOC,a,Natural,1.04687,69.72,-27.407,30,24,19,32,89,8.6533,0.972,0.5925,1.69,4.7,57,10.62,5.1,
P07,Cross Lochs,05/11/2014,Nov-14,DOC,a,Restoration,1.046599,70.085,-29.002,34,6,12,19,45,12.4833,1.0347,0.7671,0.46,4.52,60,9.68,5.2,-0.3
P09,Cross Lochs,05/11/2014,Nov-14,DOC,a,Restoration,1.070732,49.94,-28.756,38,6,13,16,67,13.0033,1.0837,0.7835,1.07,4.5,58,11.79,5.1,-1.5
P10,Cross Lochs,05/11/2014,Nov-14,DOC,a,Restoration,1.084924,42.36,-28.96,39,4,8,0.5,1264,10.6433,1.1926,0.6847,0.46,4.44,65,11.07,5.8,-1.6
P01,Cross Lochs,15/09/2015,Sep-15,DOC,a,Natural,1.001332,240.615,-26.7,50,868,246,192,427,6.5167,1.1831,0.3233,1.7,4.43,82,8.36,12.06,
P04,Cross Lochs,15/09/2015,Sep-15,DOC,a,Natural,0.969007,347.99,-25.447,43,115,58,89,177,17.4167,4.1578,0.3149,3.25,4.8,72,8.38,12.6,5.3
P06,Cross Lochs,15/09/2015,Sep-15,DOC,a,Natural,1.004347,225.975,-25.368,30,24,19,32,89,17.6967,5.4453,0.4013,4.76,5.57,75,8.6,12.27,
P07,Cross Lochs,15/09/2015,Sep-15,DOC,a,Restoration,1.072543,48.7,-29.017,34,6,12,19,45,23.0867,2.9578,5.8967,15.53,4.42,71,5.93,11.8,2.6
P09,Cross Lochs,15/09/2015,Sep-15,DOC,a,Restoration,1.075007,47.365,-28.645,38,6,13,16,67,27.0267,2.3431,3.0146,8.87,4.33,74,7.02,11.38,3.6
P10,Cross Lochs,15/09/2015,Sep-15,DOC,a,Restoration,1.096223,37.35,-28.81,39,4,8,0.5,1264,25.9467,1.0477,4.2061,12.94,4.28,71,7.63,12.74,2.5
P01,Cross Lochs,20/05/2014,May-14,POC,b,Natural,0.982841,316.84,-27.481,50,868,246,192,427,6.2667,3.4721,0.3503,1.3,4.45,77,9.11,15.1,0.2
P04,Cross Lochs,20/05/2014,May-14,POC,b,Natural,1.013093,205.105,-27.821,43,115,58,89,177,9.0167,1.736,0.5308,5.7,4.49,74,7.72,16.5,3.7
P06,Cross Lochs,20/05/2014,May-14,POC,b,Natural,1.042637,70.305,-24.378,30,24,19,32,89,10.8767,4.0389,0.2349,7.32,4.33,76,6.13,18.1,
P07,Cross Lochs,20/05/2014,May-14,POC,b,Restoration,1.020988,183.835,-27.504,34,6,12,19,45,24.4167,1.559,4.8755,4.07,4.16,82,4.36,15.4,2.5
P09,Cross Lochs,20/05/2014,May-14,POC,b,Restoration,0.94793,426.875,-27.98,38,6,13,16,67,31.9167,1.9845,2.2239,19.16,4.29,85,4.95,15,1.4
P10,Cross Lochs,20/05/2014,May-14,POC,b,Restoration,1.00395,218.99,-28.383,39,4,8,0.5,1264,21.6967,0.9796,2.9754,1.33,4.18,85,4.67,11.7,1.8
P01,Cross Lochs,05/11/2014,Nov-14,POC,b,Natural,0.963979,363.76,-26.776,50,868,246,192,427,7.6433,1.1615,0.4008,0.83,4.75,70,9.29,5.4,-3.4
P04,Cross Lochs,05/11/2014,Nov-14,POC,b,Natural,1.008064,213.82,-24.608,43,115,58,89,177,10.1033,0.8423,0.4017,1.64,4.71,58,9.72,5.3,3.5
P06,Cross Lochs,05/11/2014,Nov-14,POC,b,Natural,1.01174,209.55,-26.8,30,24,19,32,89,8.6533,0.972,0.5925,1.69,4.7,57,10.62,5.1,
P07,Cross Lochs,05/11/2014,Nov-14,POC,b,Restoration,1.033467,80.405,-27.832,34,6,12,19,45,12.4833,1.0347,0.7671,0.46,4.52,60,9.68,5.2,-0.3
P09,Cross Lochs,05/11/2014,Nov-14,POC,b,Restoration,1.014925,208.685,-27.451,38,6,13,16,67,13.0033,1.0837,0.7835,1.07,4.5,58,11.79,5.1,-1.5
P10,Cross Lochs,05/11/2014,Nov-14,POC,b,Restoration,1.027126,162.76,-27.384,39,4,8,0.5,1264,10.6433,1.1926,0.6847,0.46,4.44,65,11.07,5.8,-1.6
P04,Cross Lochs,15/09/2015,Sep-15,POC,b,Natural,0.973375,352.065,-26.2,43,115,58,89,177,17.4167,4.1578,0.3149,3.25,4.8,72,8.38,12.6,5.3
P06,Cross Lochs,15/09/2015,Sep-15,POC,b,Natural,1.005179,224.31,-24.327,30,24,19,32,89,17.6967,5.4453,0.4013,4.76,5.57,75,8.6,12.27,
P07,Cross Lochs,15/09/2015,Sep-15,POC,b,Restoration,0.99998,243.09,-29.865,34,6,12,19,45,23.0867,2.9578,5.8967,15.53,4.42,71,5.93,11.8,2.6
P09,Cross Lochs,15/09/2015,Sep-15,POC,b,Restoration,0.984554,308.97,-28.924,38,6,13,16,67,27.0267,2.3431,3.0146,8.87,4.33,74,7.02,11.38,3.6
P10,Cross Lochs,15/09/2015,Sep-15,POC,b,Restoration,1.026836,86.08,-28.998,39,4,8,0.5,1264,25.9467,1.0477,4.2061,12.94,4.28,71,7.63,12.74,2.5
P01,Cross Lochs,20/05/2014,May-14,CO2,c,Natural,1.020626,184.515,-11.016,50,868,246,192,427,6.2667,3.4721,0.3503,1.3,4.45,77,9.11,15.1,0.2
P04,Cross Lochs,20/05/2014,May-14,CO2,c,Natural,1.009365,217.97,-10.831,43,115,58,89,177,9.0167,1.736,0.5308,5.7,4.49,74,7.72,16.5,3.7
P06,Cross Lochs,20/05/2014,May-14,CO2,c,Natural,0.941947,504.445,,30,24,19,32,89,10.8767,4.0389,0.2349,7.32,4.33,76,6.13,18.1,
P07,Cross Lochs,20/05/2014,May-14,CO2,c,Restoration,1.044103,68.265,-18.11,34,6,12,19,45,24.4167,1.559,4.8755,4.07,4.16,82,4.36,15.4,2.5
P09,Cross Lochs,20/05/2014,May-14,CO2,c,Restoration,1.025374,165.9,-16.48,38,6,13,16,67,31.9167,1.9845,2.2239,19.16,4.29,85,4.95,15,1.4
P10,Cross Lochs,20/05/2014,May-14,CO2,c,Restoration,1.047425,69.02,-20.518,39,4,8,0.5,1264,21.6967,0.9796,2.9754,1.33,4.18,85,4.67,11.7,1.8
P04,Cross Lochs,05/11/2014,Nov-14,CO2,c,Natural,1.018614,189.835,-12.974,43,115,58,89,177,10.1033,0.8423,0.4017,1.64,4.71,58,9.72,5.3,3.5
P06,Cross Lochs,05/11/2014,Nov-14,CO2,c,Natural,1.027341,162.34,-14.487,30,24,19,32,89,8.6533,0.972,0.5925,1.69,4.7,57,10.62,5.1,
P07,Cross Lochs,05/11/2014,Nov-14,CO2,c,Restoration,1.021786,181.62,-11.281,34,6,12,19,45,12.4833,1.0347,0.7671,0.46,4.52,60,9.68,5.2,-0.3
P09,Cross Lochs,05/11/2014,Nov-14,CO2,c,Restoration,1.031845,81.865,-15.309,38,6,13,16,67,13.0033,1.0837,0.7835,1.07,4.5,58,11.79,5.1,-1.5
P10,Cross Lochs,05/11/2014,Nov-14,CO2,c,Restoration,1.032916,80.675,-18.371,39,4,8,0.5,1264,10.6433,1.1926,0.6847,0.46,4.44,65,11.07,5.8,-1.6
P01,Cross Lochs,15/09/2015,Sep-15,CO2,c,Natural,0.996586,250.635,-10.843,50,868,246,192,427,6.5167,1.1831,0.3233,1.7,4.43,82,8.36,12.06,
P04,Cross Lochs,15/09/2015,Sep-15,CO2,c,Natural,1.006108,222.24,-11.9,43,115,58,89,177,17.4167,4.1578,0.3149,3.25,4.8,72,8.38,12.6,5.3
P06,Cross Lochs,15/09/2015,Sep-15,CO2,c,Natural,0.996795,249.455,-9.444,30,24,19,32,89,17.6967,5.4453,0.4013,4.76,5.57,75,8.6,12.27,
P07,Cross Lochs,15/09/2015,Sep-15,CO2,c,Restoration,1.034219,79.785,-17.824,34,6,12,19,45,23.0867,2.9578,5.8967,15.53,4.42,71,5.93,11.8,2.6
P09,Cross Lochs,15/09/2015,Sep-15,CO2,c,Restoration,1.039774,74.44,-17.974,38,6,13,16,67,27.0267,2.3431,3.0146,8.87,4.33,74,7.02,11.38,3.6
P10,Cross Lochs,15/09/2015,Sep-15,CO2,c,Restoration,1.045541,71.93,-17.366,39,4,8,0.5,1264,25.9467,1.0477,4.2061,12.94,4.28,71,7.63,12.74,2.5
LL02,Loch Leir,04/11/2014,Nov-14,DOC,a,Natural,1.076358,46.49,-27.736,37.8,80.3,37.4,,,,,,,,,,,
LL03,Loch Leir,04/11/2014,Nov-14,DOC,a,Natural,1.029799,157.755,-26.24,46.4,174,67.7,,,,,,,,,,,
LL08,Loch Leir,04/11/2014,Nov-14,DOC,a,Restoration,1.067301,52.46,-29.112,,7,9,,,,,,,,,,,
LL11,Loch Leir,04/11/2014,Nov-14,DOC,a,Restoration,1.080651,44.525,-28.664,,10,7,,,,,,,,,,,
LL02,Loch Leir,04/11/2014,Nov-14,POC,b,Natural,1.004758,225.085,-26.1,37.8,80.3,37.4,,,,,,,,,,,
LL03,Loch Leir,04/11/2014,Nov-14,POC,b,Natural,0.990905,269.68,-25.441,46.4,174,67.7,,,,,,,,,,,
LL08,Loch Leir,04/11/2014,Nov-14,POC,b,Restoration,0.936968,519.49,,,7,9,,,,,,,,,,,
LL11,Loch Leir,04/11/2014,Nov-14,POC,b,Restoration,0.958319,382.915,-26.746,,10,7,,,,,,,,,,,
LL02,Loch Leir,04/11/2014,Nov-14,CO2,c,Natural,1.012878,214.39,-10.888,37.8,80.3,37.4,,,,,,,,,,,
LL03,Loch Leir,04/11/2014,Nov-14,CO2,c,Natural,1.018685,189.45,-11.74,46.4,174,67.7,,,,,,,,,,,
LL08,Loch Leir,04/11/2014,Nov-14,CO2,c,Restoration,1.044783,72.265,-20.535,,7,9,,,,,,,,,,,
LL11,Loch Leir,04/11/2014,Nov-14,CO2,c,Restoration,0.978477,343.63,-13.667,,10,7,,,,,,,,,,,
MUN01,Munsary,17/09/2015,Sep-15,DOC,a,Natural,1.066513,53.17,-25.53,38.15,55,36,,,,,,,,,,,
MUN02,Munsary,17/09/2015,Sep-15,DOC,a,Natural,1.072603,48.81,-28.224,37.45,1757,725,,,,,,,,,,,
MUN03,Munsary,17/09/2015,Sep-15,DOC,a,Restoration,1.079846,45.05,-29.065,59.75,189,89.8,,,,,,,,,,,
MUN01,Munsary,17/09/2015,Sep-15,POC,b,Natural,1.010989,212.315,-24.6,38.15,55,36,,,,,,,,,,,
SF02,Silver Flowe,10/09/2015,Sep-15,DOC,a,Natural,1.066017,53.36,-25.488,33.9,67,54.4,,,,,,,,,,,
SF05,Silver Flowe,10/09/2015,Sep-15,DOC,a,Natural,1.049408,67.795,-24.782,34.5,492,363,,,,,,,,,,,
SF06,Silver Flowe,10/09/2015,Sep-15,DOC,a,Natural,1.057652,57.875,-23.427,33.8,103,97.8,,,,,,,,,,,
SF02,Silver Flowe,10/09/2015,Sep-15,CO2,c,Natural,1.040279,73.91,-14.947,33.9,67,54.4,,,,,,,,,,,
SF05,Silver Flowe,10/09/2015,Sep-15,CO2,c,Natural,1.028331,84.895,-12.947,34.5,492,363,,,,,,,,,,,
SF06,Silver Flowe,10/09/2015,Sep-15,CO2,c,Natural,1.023099,178.89,-12.718,33.8,103,97.8,,,,,,,,,,,
SN05,Slieveanorra,08/09/2015,Sep-15,DOC,a,Natural,1.038485,75.61,-27.68,35.25,19,22.5,,,,,,,,,,,
SN12,Slieveanorra,08/09/2015,Sep-15,DOC,a,Natural,1.101895,34.855,-27.819,30.95,8.23,19.2,,,,,,,,,,,
SN15,Slieveanorra,08/09/2015,Sep-15,DOC,a,Natural,1.055426,59.465,-27.53,42.27777778,43.6,42.3,,,,,,,,,,,
SN05,Slieveanorra,08/09/2015,Sep-15,CO2,c,Natural,1.031381,82.26,-13.94,35.25,19,22.5,,,,,,,,,,,
SN12,Slieveanorra,08/09/2015,Sep-15,CO2,c,Natural,1.037047,76.925,-13.373,30.95,8.23,19.2,,,,,,,,,,,
SN15,Slieveanorra,08/09/2015,Sep-15,CO2,c,Natural,1.030502,83.03,-11.002,42.27777778,43.6,42.3,,,,,,,,,,,
GP04,Garron Plateau,08/09/2015,Sep-15,DOC,a,Natural,1.093359,38.48,-27.613,47.15,108,138,,,,,,,,,,,
GP05,Garron Plateau,08/09/2015,Sep-15,DOC,a,Natural,1.093871,38.26,-27.739,49.55,40.9,49.6,,,,,,,,,,,
GP10,Garron Plateau,08/09/2015,Sep-15,DOC,a,Natural,1.079207,44.83,-27.066,57.41666667,26,22.7,,,,,,,,,,,
GP04,Garron Plateau,08/09/2015,Sep-15,CO2,c,Natural,1.052247,63.33,-15.177,47.15,108,138,,,,,,,,,,,
GP05,Garron Plateau,08/09/2015,Sep-15,CO2,c,Natural,1.055035,59.47,-17.113,49.55,40.9,49.6,,,,,,,,,,,
GP10,Garron Plateau,08/09/2015,Sep-15,CO2,c,Natural,1.032593,81.23,-13.864,57.41666667,26,22.7,,,,,,,,,,,
